상품ID,상품명,기존ID,기존카테고리,추천ID,추천카테고리,상태
13247118575,생화 화분 가꾸기 키트 - 1인세트,,생활/건강>원예/식물>플라워소품만들기,50006880,플라워소품만들기,Fixed (Phase2)
13247116571,가드닝소품 화분꾸미기 선인장 픽 화분 마블,,생활/건강>공구>원예공구>기타원예공구,50003378,기타원예공구,Fixed (Phase2)
13247116353,화분꾸미기 화분 화분키우기 자동물주기 자동급수기 원예용품 화이트 텃밭물주기 6p,,생활/건강>공구>원예공구>기타원예공구,50003378,기타원예공구,Fixed (Phase2)
13247116135,소품 화단장식 어항꾸미기 화분 테라리움 4개,,생활/건강>공구>원예공구>기타원예공구,50003378,기타원예공구,Fixed (Phase2)
13247115727,화분 데코 화분꾸미기 5cm 픽 화분장식인형,,생활/건강>수집품>모형/프라모델/피규어>피규어,50007028,피규어,Fixed (Phase2)
13247115089,꾸미기세트 사자화분 만들기대장-다육식물,,출산/육아>완구/인형>미술놀이>종이접기,50006998,종이접기,Fixed (Phase2)
13247114495,꾸미기세트 만들기대장-다육식물 조리개화분,,출산/육아>완구/인형>미술놀이>종이접기,50006998,종이접기,Fixed (Phase2)
13247114168,만들기대장-다육식물 달팽이화분 꾸미기세트,,출산/육아>완구/인형>미술놀이>종이접기,50006397,미술교구,Fixed (Phase2)
13247110580,식물 정리 몬스테라 줄기 식물지지대 화분 지지대,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13247109155,공구 드라이버 세트 130 in 1 십자 일자 별 육각 비트 정밀 드라이버 IH778,,생활/건강>공구>전동공구>기타전동공구,50003417,기타전동공구,Fixed (Phase2)
13247107089,마더보드 청소용 와이어 브러쉬 세트 불순물제거 PCB BF405,,생활/건강>공구>접착용품>세정제/클리너,50003461,세정제/클리너,Fixed (Phase2)
13247106474,멀티 클리닝 툴 세트 브러쉬 클리너 먼지제거 키보드 이어폰 BF449,,생활/건강>청소용품>테이프클리너,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13247105612,플라스틱 원예 꽃삽 미니삽 화분 분갈이 흙삽 가드닝 식물키우기 원예도구,,생활/건강>원예/식물>미니화분,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13247104188,부활절 데코 스티커 2종 세트 다이어리 꾸미기 폰꾸 포인트 장식 계란 테마,,생활/건강>문구/사무용품>스티커>다꾸스티커,1001120000.0,문구/사무용품 > 스티커/라벨 > 스티커,Mismatch
13247103527,입체 데코 스티커 6개 세트 비즈 포인트 꾸미기 다꾸 팬시 답례품 단체 선물,,생활/건강>문구/사무용품>스티커>다꾸스티커,1311190000.0,완구/취미 > 만들기/DIY > 비즈공예,Mismatch
13247102683,핑퐁 라켓볼 세트 2개 배틀 놀이 스포츠 장난감 단체 선물 완구,,생활/건강>문구/사무용품>문구용품>기타문구용품,1408040000.0,스포츠/레저 > 배드민턴 > 배드민턴라켓,Mismatch
13247101619,3D 입체 데코 스티커 6개 세트 볼록 꾸미기 다이어리 팬시 답례품 단체 선물,,생활/건강>문구/사무용품>스티커>다꾸스티커,50004598,홈버튼스티커,Fixed (Phase2)
13247101183,고양이 피규어 연필깎이 8개 세트 휴대용 수동 미니 답례품 단체 선물,,생활/건강>문구/사무용품>필기도구>연필깎이,1307040700.0,취미/도서 > 완구/피규어 > 피규어,Mismatch
13247096281,12색 블록 색연필 20개입 조립형 미술 놀이 색칠공부 단체 선물 세트,,생활/건강>화방용품>애니메이션용품>펜촉/펜대,50003896.0,생활/건강 > 문구/사무용품 > 화방용품 > 색연필,Mismatch
13247093287,피규어 스탬프 4개 세트 응원 칭찬 도장 만년스탬프 학교 답례품 단체 선물,,생활/건강>문구/사무용품>문구용품>스테이플러/침,1307040700.0,취미/도서 > 완구/피규어 > 피규어,Mismatch
13247093083,36색 블랙우드 색연필 세트 드로잉 스케치 색칠 놀이 미술 단체 선물,,생활/건강>화방용품>애니메이션용품>펜촉/펜대,50003896.0,생활/건강 > 문구/사무용품 > 화방용품 > 색연필,Mismatch
13247092636,캔디 토이 구디백 선물 꾸러미 비즈 주물럭 기념품 세트 답례품 간식,,출산/육아>완구/인형>음악/악기놀이>마이크/노래방,50002001,사탕,Fixed (Phase2)
13247092000,큐빅 비즈 보석 스티커 36개 세트 데코 꾸미기 다이어리 포인트 답례품 단체 선물,,생활/건강>문구/사무용품>스티커>다꾸스티커,50004598,홈버튼스티커,Fixed (Phase2)
13247091610,홀로그램 젤리 스티커 8개 세트 볼록 입체 데코 꾸미기 팬시 답례품 단체 선물,,생활/건강>문구/사무용품>스티커>다꾸스티커,1001120000.0,문구/사무용품 > 스티커/라벨 > 스티커,Mismatch
13247078255,무타공 창틀 거치대 다용도 선반 베란다 화분 정리대 수납대,,생활/건강>수납/정리용품>선반/진열대>스탠드선반/진열대,50005260,스탠드선반/진열대,Fixed (Phase2)
13247066451,눈썹 메이크업 가이드 3종 세트,,화장품/미용>뷰티소품>아이소품>기타아이소품,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13247065941,공구 정밀 드라이버 세트 나사 스크류 버세트 라쳇 가저용 가정용 61 종공구,,생활/건강>공구>수작업공구>드라이버,50003387,공구세트,Fixed (Phase2)
13247064255,화분정리 스텐드 클리어 화분받침대 화분,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13247064022,화분정리 화분받이 스텐드 클리어 화분,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
13247061264,젤 네일 아트 붓 브러쉬 재료 15종 세트 DD-11803,,화장품/미용>네일케어>네일아트,50000403,네일아트,Fixed (Phase2)
13241635258,다이아 셀프네일 아트 세트 24 pcs 웨딩 젤 디자인 붙이는 스티커 젤네일팁 재료,,화장품/미용>네일케어>네일아트,50000403,네일아트,Fixed (Phase2)
13241635055,정밀 드라이버 115종 공구 세트 분해 조립 멀티 버세트 가정용 일자 십자드라이버,,생활/건강>공구>수작업공구>드라이버,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13241634838,다용도 수족관 청소 도구 세트 5종 스크 래퍼 뜰채 포함 어항 수조 브러시 물고기,,생활/건강>관상어용품>수조청소용품,50000382,수조청소용품,Fixed (Phase2)
13241632783,뿌리가 숨쉬는 대형 블루베리 그로우백 부직포 화분 5호,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13241629222,화분 화분정리 스텐드 거실화분정리대 60x14x20,,생활/건강>정원/원예용품>화분받침,50001803,화분받침,Fixed (Phase2)
